old_path	old_role	new_path	migration_action	notes
/home/jiehuang/software/fungi/EPGAT/runners/run_dc.py	network heuristic baseline	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_baselines.py	rewrite_adapter	Embedding-specific weighting must be isolated and documented.
/home/jiehuang/software/fungi/EPGAT/runners/run_bc.py	network heuristic baseline	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_baselines.py	rewrite_adapter	Optional legacy baseline.
/home/jiehuang/software/fungi/EPGAT/runners/run_gb.py	gradient boost baseline	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_baselines.py	rewrite_adapter	Optional extra baseline, not original core.
/home/jiehuang/software/fungi/EPGAT/scripts/generate_embeddings.py	PLM embedding generation	/home/jiehuang/software/fungi/ProGATE_v2/src/features/plm_prepare.py	merge_refactor	Migrate supported model-specific generation/prep logic, keep output manifest-driven.
/home/jiehuang/software/fungi/EPGAT/scripts/data.py	HDF5 embedding I/O helpers	/home/jiehuang/software/fungi/ProGATE_v2/src/features/load_embeddings.py	merge_refactor	Absorb reusable HDF5 read/write/query behavior.
/home/jiehuang/software/fungi/EPGAT/scripts/shared_visualizer.py	fold-level eval visualization	/home/jiehuang/software/fungi/ProGATE_v2/src/eval/evaluate_epgat_extended.py	rewrite_adapter	Keep only metric export protocol in core; plotting optional.
/home/jiehuang/software/fungi/EPGAT/run_all_experiments.py	batch embedding scheduler	/home/jiehuang/software/fungi/ProGATE_v2/configs/epgat_extended_embeddings.yaml	rewrite_adapter	Represent matrix as config grid, not imperative script constants.
/home/jiehuang/software/fungi/EPGAT/run_all_experiments_omics.py	batch omics scheduler	/home/jiehuang/software/fungi/ProGATE_v2/configs/epgat_extended_omics.yaml	rewrite_adapter	Represent feature combinations as config grid.
/home/jiehuang/software/fungi/EPGAT/data/essential_genes/*	legacy runtime data lake	/home/jiehuang/software/fungi/ProGATE_v2/src/data/build_epgat_legacy_dataset.py	rewrite_adapter	Ingest in place first; defer physical relocation.
/home/jiehuang/software/fungi/EPGAT/data/essential_genes/fgraminearum/EssentialGenes/ogee.csv	legacy Fusarium labels	/home/jiehuang/software/fungi/ProGATE_v2/src/data/epgat_legacy_label_adapter.py	rewrite_adapter	Map into canonical label/evidence framework.
/home/jiehuang/software/fungi/EPGAT/data/essential_genes/fgraminearum/EssentialGenes/gene_list.txt	upstream Fusarium evidence	/home/jiehuang/software/fungi/ProGATE_v2/data_registry/master_evidence_table.preliminary.tsv	reference_ingest	Use as upstream evidence, not direct runtime label source.
/home/jiehuang/software/fungi/EPGAT/data/essential_genes/fgraminearum/PPI/process.py	Fusarium STRING bridge processor	/home/jiehuang/software/fungi/ProGATE_v2/src/data/epgat_legacy_id_adapter.py	rewrite_adapter	Rebuild as canonical bridge adapter.
/home/jiehuang/software/fungi/EPGAT/data/essential_genes/fgraminearum/PPI/STRING/string.csv	legacy Fusarium runtime PPI	/home/jiehuang/software/fungi/ProGATE_v2/src/data/epgat_legacy_id_adapter.py	rewrite_adapter	Canonicalize node IDs before downstream use.
/home/jiehuang/software/fungi/EPGAT/data/essential_genes/fgraminearum/Expression/profile.csv	legacy Fusarium expression	/home/jiehuang/software/fungi/ProGATE_v2/src/features/epgat_legacy_features.py	rewrite_adapter	Load through canonical mapping and explicit schema.
/home/jiehuang/software/fungi/EPGAT/data/essential_genes/fgraminearum/Expression/profile_fc.csv	alternate Fusarium expression variant	/home/jiehuang/software/fungi/ProGATE_v2/docs/epgat_migration/08_minimal_refactor_targets.md	reference_only	Keep as variant reference unless required by a named legacy experiment.
/home/jiehuang/software/fungi/EPGAT/data/essential_genes/fgraminearum/Orthologs/orthologs.csv	legacy Fusarium orthology features	/home/jiehuang/software/fungi/ProGATE_v2/src/features/epgat_legacy_features.py	rewrite_adapter	Load as explicit orthology feature block.
/home/jiehuang/software/fungi/EPGAT/data/essential_genes/fgraminearum/SubLocalizations/subloc.csv	legacy Fusarium localization features	/home/jiehuang/software/fungi/ProGATE_v2/src/features/epgat_legacy_features.py	rewrite_adapter	Load as explicit localization feature block.
/home/jiehuang/software/fungi/EPGAT/results/*.csv	legacy aggregate result tables	/home/jiehuang/software/fungi/ProGATE_v2/src/eval/export_epgat_legacy_results.py	rewrite_adapter	Export compatibility format from structured outputs.
/home/jiehuang/software/fungi/EPGAT/outputs/evaluation/*	fold artifacts and plots	/home/jiehuang/software/fungi/ProGATE_v2/outputs/epgat_legacy_eval/	restructure_only	Retain only if needed; native v2 outputs should stay structured.
/home/jiehuang/software/fungi/EPGAT/outputs/preds/*	per-run prediction CSVs	/home/jiehuang/software/fungi/ProGATE_v2/outputs/epgat_legacy_predictions/	restructure_only	Use exporter if legacy consumers require same filenames.
/home/jiehuang/software/fungi/EPGAT/outputs/weights/*	model checkpoints	/home/jiehuang/software/fungi/ProGATE_v2/outputs/epgat_legacy_checkpoints/	restructure_only	Do not mix with native v2 checkpoints.
/home/jiehuang/software/fungi/EPGAT/utils/prepare_data.py	post-hoc result merger	/home/jiehuang/software/fungi/ProGATE_v2/docs/epgat_migration/08_minimal_refactor_targets.md	do_not_migrate	Contains hard-coded local paths and manual metric manipulation.
/home/jiehuang/software/fungi/EPGAT/runners/backup/*	stale backup code	/home/jiehuang/software/fungi/ProGATE_v2/docs/epgat_migration/01_epgat_repo_audit.md	do_not_migrate	Reference only.
/home/jiehuang/software/fungi/EPGAT/runners/20250714/*	dated snapshot code	/home/jiehuang/software/fungi/ProGATE_v2/docs/epgat_migration/01_epgat_repo_audit.md	do_not_migrate	Reference only.
