model	parameter_group	parameter_name	classical_value	frozen_value	parity_status	impact_level	recommendation	notes
RF	model	n_estimators	500	500	identical	low	Keep	
RF	model	class_weight	balanced	balanced	identical	low	Keep	
RF	model	n_jobs	-1	-1	identical	low	Keep	
RF	preprocessing	include_degree	false	true	inconsistent_benchmark_breaking	high	Match frozen loader	Feature matrix changed.
RF	preprocessing	val_fraction	0.04	0.10	inconsistent_benchmark_breaking	high	Match frozen manifests	Validation set definition changed.
SVM	feature_setting	feature_setting	ORT_EXP_SUB	ORT_EXP_SUB	identical	low	Keep	
SVM	model	C	1.0	1.0	identical	low	Keep	
SVM	model	kernel	rbf	rbf	identical	low	Keep	
SVM	model	gamma	scale	scale	identical	low	Keep	
SVM	model	class_weight	balanced	balanced	identical	low	Keep	
SVM	preprocessing	include_degree	false	true	inconsistent_benchmark_breaking	high	Match frozen loader	Feature matrix changed.
SVM	preprocessing	val_fraction	0.04	0.10	inconsistent_benchmark_breaking	high	Match frozen manifests	Validation set definition changed.
NB	feature_setting	feature_setting	ORT_EXP_SUB	ORT_EXP_SUB	identical	low	Keep	
NB	preprocessing	include_degree	false	true	inconsistent_benchmark_breaking	high	Match frozen loader	Feature matrix changed.
NB	preprocessing	val_fraction	0.04	0.10	inconsistent_benchmark_breaking	high	Match frozen manifests	Validation set definition changed.
N2V_MLP	node2vec	backend	implicit train_node2vec_embeddings default	runtime.node2vec_backend=auto	different_but_acceptable	medium	Prefer frozen backend control	Frozen exposes backend in config.
N2V_MLP	node2vec	embedding_dim	64	64	identical	low	Keep	
N2V_MLP	node2vec	walk_length	32	32	identical	low	Keep	
N2V_MLP	node2vec	context_size	32	32	identical	low	Keep	
N2V_MLP	node2vec	walks_per_node	16	16	identical	low	Keep	
N2V_MLP	node2vec	num_negative_samples	1	1	identical	low	Keep	
N2V_MLP	node2vec	epochs	50	50	identical	low	Keep	
N2V_MLP	node2vec	batch_size	256	256	identical	low	Keep	
N2V_MLP	node2vec	learning_rate	0.005	0.005	identical	low	Keep	
N2V_MLP	mlp	hidden_dim	32	32	identical	low	Keep	
N2V_MLP	mlp	dropout	0.2	0.2	identical	low	Keep	
N2V_MLP	mlp	learning_rate	0.001	0.001	identical	low	Keep	
N2V_MLP	mlp	weight_decay	0.0	0.0	identical	low	Keep	
N2V_MLP	mlp	epochs	500	200	inconsistent_benchmark_breaking	medium	Match frozen	Classical drifted to longer training.
N2V_MLP	mlp	patience	20	20	identical	low	Keep	
N2V_MLP	mlp	early_stopping	implicit always-on via patience	explicit true	identical	low	Keep	
N2V_MLP	inputs	feature_mix	pure N2V	pure N2V	identical	low	Keep	
N2V_MLP	preprocessing	include_degree	false	true	different_but_acceptable	medium	Use frozen manifests/loader	For N2V the graph and node universe come from the loader; degree block not used in feature matrix.
DC	graph	graph_source	build_epgat_legacy_dataset edge_index	native frozen STRING graph filtered by runtime.string_threshold	inconsistent_benchmark_breaking	high	Use frozen loader	Different graph node universe and manifests.
DC	graph	edge_filtering_threshold	300	300	identical	low	Keep	
DC	graph	weighted_behavior	unweighted	unweighted	identical	low	Keep	
DC	evaluation	ranking_to_classification	top_k equals positive labeled count	top_k equals positive labeled count	identical	low	Keep	
DC	evaluation	output_schema	classical metrics schema	frozen metrics schema	inconsistent_benchmark_breaking	medium	Match frozen	Classical lacked frozen metadata.
CC	graph	graph_source	build_epgat_legacy_dataset edge_index	native frozen STRING graph filtered by runtime.string_threshold	inconsistent_benchmark_breaking	high	Use frozen loader	Different graph node universe and manifests.
CC	graph	edge_filtering_threshold	300	300	identical	low	Keep	
CC	graph	weighted_behavior	unweighted	unweighted	identical	low	Keep	
CC	evaluation	ranking_to_classification	top_k equals positive labeled count	top_k equals positive labeled count	identical	low	Keep	
CC	evaluation	output_schema	classical metrics schema	frozen metrics schema	inconsistent_benchmark_breaking	medium	Match frozen	Classical lacked frozen metadata.
GraphSAGE	invocation	workflow_presence	not invoked in classical workflow	run_frozen_protocol_model only	not_applicable	low	Keep graph models only in frozen all-model workflow	Classical is intentionally baseline-only.
GCN	invocation	workflow_presence	not invoked in classical workflow	run_frozen_protocol_model only	not_applicable	low	Keep graph models only in frozen all-model workflow	Classical is intentionally baseline-only.
GAT	invocation	workflow_presence	not invoked in classical workflow	run_frozen_protocol_model only	not_applicable	low	Keep graph models only in frozen all-model workflow	Classical is intentionally baseline-only.
GIN	invocation	workflow_presence	not invoked in classical workflow	run_frozen_protocol_model only	not_applicable	low	Keep graph models only in frozen all-model workflow	Classical is intentionally baseline-only.
